prompt_id,prompt,expanded_prompt,Full_Prompt
11,ما هي قضية اجتماعية مهمة في بلدك؟ لماذا هي مهمة؟,"1. أسباب القضية الاجتماعية: [فقر، بطالة، تعليم، هجرة، تهميش].
2. تأثيرها على المجتمع: [اقتصاد، أسرة، صحة، تعليم، ثقافة].
3. جهود الحكومة لحل القضية: [سياسات، برامج، تمويل، إصلاحات، شراكات].
4. دور المجتمع المدني: [توعية، دعم، مبادرات، جمعيات، تطوع].
5. الحلول المقترحة: [تدريب، فرص، استثمار، توعية، تشريع].","ما هي قضية اجتماعية مهمة في بلدك؟ لماذا هي مهمة؟ 1. أسباب القضية الاجتماعية: [فقر، بطالة، تعليم، هجرة، تهميش].
2. تأثيرها على المجتمع: [اقتصاد، أسرة، صحة، تعليم، ثقافة].
3. جهود الحكومة لحل القضية: [سياسات، برامج، تمويل، إصلاحات، شراكات].
4. دور المجتمع المدني: [توعية، دعم، مبادرات، جمعيات، تطوع].
5. الحلول المقترحة: [تدريب، فرص، استثمار، توعية، تشريع]."
12,كيف يمكن أن نساعد الآخرين في المجتمع؟ هل لديك أفكار؟,"1. التطوع في المجتمع: [المبادرات، الجهود، المشاركة، الخدمة، التوعية].
2. الدعم المالي والمادي: [التبرعات، الموارد، المساعدات، التمويل، الاحتياجات].
3. التعليم والتدريب: [الورش، المهارات، التوجيه، التحفيز، التمكين].
4. الرعاية الاجتماعية: [الاهتمام، الدعم النفسي، الرعاية الصحية، الفئات الضعيفة، البرامج].
5. تعزيز قيم التعاون: [التفاهم، الاحترام، العمل الجماعي، التضامن، الانسجام].","كيف يمكن أن نساعد الآخرين في المجتمع؟ هل لديك أفكار؟ 1. التطوع في المجتمع: [المبادرات، الجهود، المشاركة، الخدمة، التوعية].
2. الدعم المالي والمادي: [التبرعات، الموارد، المساعدات، التمويل، الاحتياجات].
3. التعليم والتدريب: [الورش، المهارات، التوجيه، التحفيز، التمكين].
4. الرعاية الاجتماعية: [الاهتمام، الدعم النفسي، الرعاية الصحية، الفئات الضعيفة، البرامج].
5. تعزيز قيم التعاون: [التفاهم، الاحترام، العمل الجماعي، التضامن، الانسجام]."
13,ما هو موضوعك المفضل في المدرسة؟ ولماذا تحبه؟,"1. المواد الدراسية المفضلة: [رياضيات، علوم، تاريخ، لغة عربية، فنون].
2. أسباب تفضيل المادة: [مشوقة، مفيدة، معلم، تحديات، تطبيقات].
3. تأثير المادة على مستقبلي: [مسار، وظيفة، نجاح، مهارات، اهتمامات].
4. مقارنة مع المواد الأخرى: [سهولة، صعوبة، تفاعل، درجات، اهتمام].
5. أمثلة من الدروس: [تجارب، مشاريع، قصص، اختبارات، أنشطة].","ما هو موضوعك المفضل في المدرسة؟ ولماذا تحبه؟ 1. المواد الدراسية المفضلة: [رياضيات، علوم، تاريخ، لغة عربية، فنون].
2. أسباب تفضيل المادة: [مشوقة، مفيدة، معلم، تحديات، تطبيقات].
3. تأثير المادة على مستقبلي: [مسار، وظيفة، نجاح، مهارات، اهتمامات].
4. مقارنة مع المواد الأخرى: [سهولة، صعوبة، تفاعل، درجات، اهتمام].
5. أمثلة من الدروس: [تجارب، مشاريع، قصص، اختبارات، أنشطة]."
14,هل تفضل الدروس النظرية ام التطبيقات العملية ولماذا,"1. مقدمة حول أهمية التعليم في العصر الحديث: [التعليم، المعرفة، المهارات، المستقبل، التطور].
   
2. فوائد الدروس النظرية: [المفاهيم، التحليل، العمق، الفهم، الأساسيات].

3. فوائد التطبيقات العملية: [التجربة، التطبيق، الإبداع، الكفاءة، التفاعل].

4. التوازن بين النظرية والتطبيق: [التكامل، التنسيق، الشمولية، التوازن، الفعالية].

5. الخلاصة والاختيار الشخصي: [التفضيل، القرار، الأهداف، الشخصية، الميول].","هل تفضل الدروس النظرية ام التطبيقات العملية ولماذا 1. مقدمة حول أهمية التعليم في العصر الحديث: [التعليم، المعرفة، المهارات، المستقبل، التطور].
   
2. فوائد الدروس النظرية: [المفاهيم، التحليل، العمق، الفهم، الأساسيات].

3. فوائد التطبيقات العملية: [التجربة، التطبيق، الإبداع، الكفاءة، التفاعل].

4. التوازن بين النظرية والتطبيق: [التكامل، التنسيق، الشمولية، التوازن، الفعالية].

5. الخلاصة والاختيار الشخصي: [التفضيل، القرار، الأهداف، الشخصية، الميول]."
15,هل تحب طريقة التعليم في بلدك ولماذا؟,"1. تأثير التعليم على الطلاب: [تنمية، مهارات، إبداع، ثقة، معرفة].
2. وسائل التعليم المستخدمة: [تكنولوجيا، كتب، مناهج، معلمين، طرق].
3. تحديات التعليم في البلد: [ازدحام، تمويل، جودة، تحديث، موارد].
4. دور الحكومة في تحسين التعليم: [استثمار، سياسات، دعم، إصلاحات، مبادرات].
5. مقارنة مع أنظمة تعليمية أخرى: [تفوق، اختلاف، نتائج، تطور، تجارب].","هل تحب طريقة التعليم في بلدك ولماذا؟ 1. تأثير التعليم على الطلاب: [تنمية، مهارات، إبداع، ثقة، معرفة].
2. وسائل التعليم المستخدمة: [تكنولوجيا، كتب، مناهج، معلمين، طرق].
3. تحديات التعليم في البلد: [ازدحام، تمويل، جودة، تحديث، موارد].
4. دور الحكومة في تحسين التعليم: [استثمار، سياسات، دعم، إصلاحات، مبادرات].
5. مقارنة مع أنظمة تعليمية أخرى: [تفوق، اختلاف، نتائج، تطور، تجارب]."
16,ما هو رياضتك المفضلة؟ لماذا تحبها؟,"1. تاريخ الرياضة المفضلة: [نشأة، تطور، تاريخ، أحداث، بطولات].
2. فوائد ممارسة الرياضة: [صحة، لياقة، نفسية، نشاط، متعة].
3. الأسباب الشخصية لاختيار الرياضة: [شغف، تجربة، تأثير، إلهام، اهتمام].
4. تأثير الرياضة عليك: [تحفيز، تحسين، مهارات، علاقات، إنجاز].
5. مستقبل الرياضة في حياتك: [أهداف، تطلعات، تقدم، دور، استمرارية].","ما هو رياضتك المفضلة؟ لماذا تحبها؟ 1. تاريخ الرياضة المفضلة: [نشأة، تطور، تاريخ، أحداث، بطولات].
2. فوائد ممارسة الرياضة: [صحة، لياقة، نفسية، نشاط، متعة].
3. الأسباب الشخصية لاختيار الرياضة: [شغف، تجربة، تأثير، إلهام، اهتمام].
4. تأثير الرياضة عليك: [تحفيز، تحسين، مهارات، علاقات، إنجاز].
5. مستقبل الرياضة في حياتك: [أهداف، تطلعات، تقدم، دور، استمرارية]."
17,كيف تحافظ على صحتك؟ هل تمارس الرياضة؟,"1. أهمية التغذية الصحية: [الفواكه، الخضروات، البروتين، الفيتامينات، التوازن].
2. تأثير الرياضة على الصحة: [القلب، العضلات، اللياقة، الطاقة، المرونة].
3. العادات اليومية الصحية: [النوم، الماء، التأمل، الاسترخاء، الروتين].
4. تجنب العادات السيئة: [التدخين، الكحول، الوجبات السريعة، السهر، الإجهاد].
5. الفحوصات الطبية الدورية: [الضغط، السكر، الكوليسترول، الوزن، الوقاية].","كيف تحافظ على صحتك؟ هل تمارس الرياضة؟ 1. أهمية التغذية الصحية: [الفواكه، الخضروات، البروتين، الفيتامينات، التوازن].
2. تأثير الرياضة على الصحة: [القلب، العضلات، اللياقة، الطاقة، المرونة].
3. العادات اليومية الصحية: [النوم، الماء، التأمل، الاسترخاء، الروتين].
4. تجنب العادات السيئة: [التدخين، الكحول، الوجبات السريعة، السهر، الإجهاد].
5. الفحوصات الطبية الدورية: [الضغط، السكر، الكوليسترول، الوزن، الوقاية]."
18,تحدث عن شخص تعتبره قدوة لك.,"1. الخصائص الشخصية للقدوة: [أخلاق، حكمة، نزاهة، صبر، شجاعة].
2. الإنجازات البارزة في حياة القدوة: [نجاح، إبداع، تأثير، ابتكار، إنجازات].
3. تأثير القدوة على حياتك الشخصية: [إلهام، توجيه، تحسين، تغيير، دعم].
4. مواقف تبرز أهمية القدوة: [تحديات، قرارات، مواقف، صمود، تضحية].
5. القيم والمبادئ التي تعلمتها من القدوة: [احترام، عدالة، تفاني، تعاون، مسؤولية].","تحدث عن شخص تعتبره قدوة لك. 1. الخصائص الشخصية للقدوة: [أخلاق، حكمة، نزاهة، صبر، شجاعة].
2. الإنجازات البارزة في حياة القدوة: [نجاح، إبداع، تأثير، ابتكار، إنجازات].
3. تأثير القدوة على حياتك الشخصية: [إلهام، توجيه، تحسين، تغيير، دعم].
4. مواقف تبرز أهمية القدوة: [تحديات، قرارات، مواقف، صمود، تضحية].
5. القيم والمبادئ التي تعلمتها من القدوة: [احترام، عدالة، تفاني، تعاون، مسؤولية]."
19,تحدث عن يومك الأول في المدرسة.,"1. الاستعداد لليوم الأول: [الملابس، الحقيبة، التحضيرات، الحماس، الترقب].
2. الوصول إلى المدرسة: [الباب، الزملاء، المعلمون، الفناء، التنظيم].
3. الانطباعات الأولى: [الدهشة، الفضول، التوتر، الغرابة، الانسجام].
4. الأنشطة المدرسية: [الحصة، الرياضة، المكتبة، الرسم، الموسيقى].
5. العودة إلى المنزل: [التعب، القصص، الأهل، الذكريات، التقييم].","تحدث عن يومك الأول في المدرسة. 1. الاستعداد لليوم الأول: [الملابس، الحقيبة، التحضيرات، الحماس، الترقب].
2. الوصول إلى المدرسة: [الباب، الزملاء، المعلمون، الفناء، التنظيم].
3. الانطباعات الأولى: [الدهشة، الفضول، التوتر، الغرابة، الانسجام].
4. الأنشطة المدرسية: [الحصة، الرياضة، المكتبة، الرسم، الموسيقى].
5. العودة إلى المنزل: [التعب، القصص، الأهل، الذكريات، التقييم]."
20,ما هو الشيء الذي تود تغييره في العالم؟,"1. التغيير المناخي والبيئة: [الاحتباس الحراري، الطاقة المتجددة، التشجير، التلوث، التنوع البيولوجي].

2. التعليم للجميع: [التعليم المجاني، التكنولوجيا التعليمية، محو الأمية، المساواة في الفرص، التدريب المهني].

3. السلام العالمي: [التفاهم الثقافي، نزع السلاح، الحوار، التعاون الدولي، حقوق الإنسان].

4. العدالة الاجتماعية: [الفقر، التمييز، الرعاية الصحية، المساواة، حقوق المرأة].

5. التكنولوجيا والابتكار: [الذكاء الاصطناعي، الابتكار، الأمن السيبراني، الرقمنة، الأخلاقيات التكنولوجية].","ما هو الشيء الذي تود تغييره في العالم؟ 1. التغيير المناخي والبيئة: [الاحتباس الحراري، الطاقة المتجددة، التشجير، التلوث، التنوع البيولوجي].

2. التعليم للجميع: [التعليم المجاني، التكنولوجيا التعليمية، محو الأمية، المساواة في الفرص، التدريب المهني].

3. السلام العالمي: [التفاهم الثقافي، نزع السلاح، الحوار، التعاون الدولي، حقوق الإنسان].

4. العدالة الاجتماعية: [الفقر، التمييز، الرعاية الصحية، المساواة، حقوق المرأة].

5. التكنولوجيا والابتكار: [الذكاء الاصطناعي، الابتكار، الأمن السيبراني، الرقمنة، الأخلاقيات التكنولوجية]."
21,تحدث عن أفضل صديق لك.,"1. صفات أفضل صديق: [إخلاص، وفاء، دعم، تفهم، صبر].
2. ذكريات لا تُنسى معه: [ضحك، مغامرات، رحلات، مواقف، ألعاب].
3. كيف التقينا: [مدرسة، صدفة، نشاط، حدث، مناسبة].
4. أهمية الصداقة في الحياة: [راحة، ثقة، مشاركة، نمو، سعادة].
5. كيف نحافظ على صداقتنا: [تواصل، احترام، تفهم، تعاون، اعتذار].","تحدث عن أفضل صديق لك. 1. صفات أفضل صديق: [إخلاص، وفاء، دعم، تفهم، صبر].
2. ذكريات لا تُنسى معه: [ضحك، مغامرات، رحلات، مواقف، ألعاب].
3. كيف التقينا: [مدرسة، صدفة، نشاط، حدث، مناسبة].
4. أهمية الصداقة في الحياة: [راحة، ثقة، مشاركة، نمو، سعادة].
5. كيف نحافظ على صداقتنا: [تواصل، احترام، تفهم، تعاون، اعتذار]."
22,وصف تجربة طفولة لا تُنسى.,"1. مقدمة عن التجربة: [ذكريات، براءة، سعادة، مغامرة، حنين].
2. تفاصيل الحدث: [مكان، زمان، شخصيات، نشاطات، أحداث].
3. المشاعر المصاحبة: [فرح، دهشة، خوف، حماس، فضول].
4. الدروس المستفادة: [تعلم، نمو، صداقة، قيم، انعكاسات].
5. تأثير التجربة على الحاضر: [ذكريات، تأثير، نضج، تطور، ارتباط].","وصف تجربة طفولة لا تُنسى. 1. مقدمة عن التجربة: [ذكريات، براءة، سعادة، مغامرة، حنين].
2. تفاصيل الحدث: [مكان، زمان، شخصيات، نشاطات، أحداث].
3. المشاعر المصاحبة: [فرح، دهشة، خوف، حماس، فضول].
4. الدروس المستفادة: [تعلم، نمو، صداقة، قيم، انعكاسات].
5. تأثير التجربة على الحاضر: [ذكريات، تأثير، نضج، تطور، ارتباط]."
23,ماهي الوظيفة التي تحلم بها في المستقبل ،لماذا؟,"1. تعريف الوظيفة المثالية: [شغف، مهارات، إبداع، توازن، تحديات].
2. أسباب اختيار الوظيفة: [اهتمام، تطور، استقرار، مجتمع، تأثير].
3. التأثير المتوقع للوظيفة على الحياة الشخصية: [سعادة، رضا، نمو، توازن، نجاح].
4. المهارات والخبرات المطلوبة: [تعليم، تدريب، خبرة، تطوير، تواصل].
5. التحديات المحتملة وكيفية التغلب عليها: [صعوبات، مرونة، استراتيجية، صبر، تعلم].","ماهي الوظيفة التي تحلم بها في المستقبل ،لماذا؟ 1. تعريف الوظيفة المثالية: [شغف، مهارات، إبداع، توازن، تحديات].
2. أسباب اختيار الوظيفة: [اهتمام، تطور، استقرار، مجتمع، تأثير].
3. التأثير المتوقع للوظيفة على الحياة الشخصية: [سعادة، رضا، نمو، توازن، نجاح].
4. المهارات والخبرات المطلوبة: [تعليم، تدريب، خبرة، تطوير، تواصل].
5. التحديات المحتملة وكيفية التغلب عليها: [صعوبات، مرونة، استراتيجية، صبر، تعلم]."
24,ما هو الطقس اليوم؟,"1. تأثير الطقس على الحياة اليومية: [نشاطات، ملابس، سفر، مواصلات، تخطيط].
2. العوامل المؤثرة في تغير الطقس: [حرارة، رياح، رطوبة، ضغط جوي، سحب].
3. توقعات الطقس للأسبوع القادم: [درجة الحرارة، أمطار، عاصفة، شروق الشمس، غروب الشمس].
4. كيف يؤثر الطقس على المزاج: [سعادة، اكتئاب، نشاط، خمول، استرخاء].
5. طرق التكيف مع الطقس القاسي: [ملابس دافئة، مكيف هواء، شاي ساخن، واقي شمس، استراحة].","ما هو الطقس اليوم؟ 1. تأثير الطقس على الحياة اليومية: [نشاطات، ملابس، سفر، مواصلات، تخطيط].
2. العوامل المؤثرة في تغير الطقس: [حرارة، رياح، رطوبة، ضغط جوي، سحب].
3. توقعات الطقس للأسبوع القادم: [درجة الحرارة، أمطار، عاصفة، شروق الشمس، غروب الشمس].
4. كيف يؤثر الطقس على المزاج: [سعادة، اكتئاب، نشاط، خمول، استرخاء].
5. طرق التكيف مع الطقس القاسي: [ملابس دافئة، مكيف هواء، شاي ساخن، واقي شمس، استراحة]."
25,ما هو عيد عربي شعبي؟ وماذا يفعل الناس للاحتفال به؟,"1. تعريف العيد وأهميته: [التراث، الثقافة، التقليد، المجتمع، التاريخ].
2. مظاهر الاحتفال بالعيد: [الزينة، الأطعمة، الملابس، الأغاني، الرقصات].
3. العادات والتقاليد المرتبطة: [الطقوس، المواكب، الألعاب، الحكايات، الفنون].
4. الأعياد الشعبية في الدول المختلفة: [المغرب، مصر، سوريا، السعودية، العراق].
5. تأثير الأعياد على الوحدة الاجتماعية: [التآلف، التعاون، التضامن، التواصل، الانسجام].","ما هو عيد عربي شعبي؟ وماذا يفعل الناس للاحتفال به؟ 1. تعريف العيد وأهميته: [التراث، الثقافة، التقليد، المجتمع، التاريخ].
2. مظاهر الاحتفال بالعيد: [الزينة، الأطعمة، الملابس، الأغاني، الرقصات].
3. العادات والتقاليد المرتبطة: [الطقوس، المواكب، الألعاب، الحكايات، الفنون].
4. الأعياد الشعبية في الدول المختلفة: [المغرب، مصر، سوريا، السعودية، العراق].
5. تأثير الأعياد على الوحدة الاجتماعية: [التآلف، التعاون، التضامن، التواصل، الانسجام]."
26,ما هو معلم عربي شهير؟ ولماذا هو مهم؟,"1. التاريخ والإنشاء: [تأسيس، بناء، معماري، تاريخ، تصميم].
2. الأهمية الثقافية: [تراث، حضارة، ثقافة، تأثير، رمز].
3. الأهمية الاقتصادية: [سياحة، دخل، اقتصاد، وظائف، استثمار].
4. الأهمية الاجتماعية: [مجتمع، تواصل، لقاءات، فعاليات، مناسبات].
5. التحديات والحفاظ: [ترميم، حماية، تحديات، صيانة، تجديد].","ما هو معلم عربي شهير؟ ولماذا هو مهم؟ 1. التاريخ والإنشاء: [تأسيس، بناء، معماري، تاريخ، تصميم].
2. الأهمية الثقافية: [تراث، حضارة، ثقافة، تأثير، رمز].
3. الأهمية الاقتصادية: [سياحة، دخل، اقتصاد، وظائف، استثمار].
4. الأهمية الاجتماعية: [مجتمع، تواصل، لقاءات، فعاليات، مناسبات].
5. التحديات والحفاظ: [ترميم، حماية، تحديات، صيانة، تجديد]."
